WAVE,FLUX,ERR,SKYBACK
3648.7087,2.2043789E-16,1.3903227E-17,-1.5859809E-16
3654.2336,1.480303E-16,1.3098782E-17,-1.5074402E-16
3659.7588,1.85501E-16,1.3078306E-17,-1.803314E-16
3665.2837,2.0952641E-16,1.286332E-17,-2.1181107E-16
3670.8088,1.7065588E-16,1.2502597E-17,-1.7922679E-16
3676.3337,1.3849378E-16,1.21764055E-17,-1.4893398E-16
3681.859,1.6232827E-16,1.2191632E-17,-1.5134946E-16
3687.3838,2.0763354E-16,1.2443986E-17,-1.4860059E-16
3692.9087,1.9035105E-16,1.2065529E-17,-1.4853395E-16
3698.4338,1.7194119E-16,1.1694714E-17,-1.5101114E-16
3703.9587,1.8969992E-16,1.1801907E-17,-1.4098548E-16
3709.484,1.8484853E-16,1.1407966E-17,-1.649704E-16
3715.0088,1.7953835E-16,1.1412164E-17,-1.3075822E-16
3720.534,1.8270113E-16,1.1286033E-17,-1.2921425E-16
3726.0588,1.7322969E-16,1.1176698E-17,-1.07774136E-16
3731.5837,1.6327714E-16,1.1002562E-17,-9.269966E-17
3737.109,2.0942954E-16,1.1175273E-17,-1.2013779E-16
3742.6338,1.7159812E-16,1.075253E-17,-1.0527064E-16
3748.159,1.8432046E-16,1.0638652E-17,-1.1488607E-16
3753.6838,1.972302E-16,1.0548949E-17,-1.2496117E-16
3759.209,1.8354718E-16,1.0375424E-17,-1.1811307E-16
3764.734,1.6928268E-16,1.0069256E-17,-1.1717823E-16
3770.2588,1.8051995E-16,1.00928285E-17,-1.1328911E-16
3775.784,1.8884993E-16,1.0078756E-17,-1.1502167E-16
3781.3088,1.9828319E-16,1.0043493E-17,-1.1779802E-16
3786.834,1.7273236E-16,9.667467E-18,-1.1498239E-16
3792.359,2.1008793E-16,9.91277E-18,-1.2007493E-16
3797.884,1.8852125E-16,9.660149E-18,-1.1029556E-16
3803.409,1.884107E-16,9.598024E-18,-1.0173456E-16
3808.934,1.9921229E-16,9.576421E-18,-1.079805E-16
3814.459,1.8872287E-16,9.3810595E-18,-1.07312E-16
3819.984,1.727993E-16,9.238303E-18,-8.865263E-17
3825.509,1.8468569E-16,9.238116E-18,-9.3697455E-17
3831.034,2.0018312E-16,9.326834E-18,-8.6468366E-17
3836.559,1.8838504E-16,9.149145E-18,-8.710031E-17
3842.084,2.1424188E-16,9.2555555E-18,-9.517538E-17
3847.6091,1.9300207E-16,8.996628E-18,-9.277371E-17
3853.134,1.6438088E-16,8.647942E-18,-8.89879E-17
3858.659,1.6140671E-16,8.5094435E-18,-9.2984637E-17
3864.184,1.8653866E-16,8.620137E-18,-1.0074207E-16
3869.709,1.7460397E-16,8.569634E-18,-8.264963E-17
3875.2341,1.7898406E-16,8.4096765E-18,-1.01513266E-16
3880.759,1.727434E-16,8.301966E-18,-9.656366E-17
3886.2842,1.5984132E-16,8.191937E-18,-8.4740247E-17
3891.809,1.8062194E-16,8.353785E-18,-8.104654E-17
3897.334,1.7548614E-16,8.238987E-18,-7.979451E-17
3902.8591,1.8038531E-16,8.299581E-18,-7.1000406E-17
3908.384,1.7077422E-16,8.1593195E-18,-7.018299E-17
3913.9092,1.7132458E-16,8.19531E-18,-5.851718E-17
3919.434,1.7041633E-16,8.0474326E-18,-7.0729375E-17
3924.9592,1.6181698E-16,7.896598E-18,-7.30711E-17
3930.4841,1.9208582E-16,8.045205E-18,-8.426978E-17
3936.0093,1.8521609E-16,7.905619E-18,-8.611215E-17
3941.5342,1.9940398E-16,8.055906E-18,-7.7932464E-17
3947.059,1.6355357E-16,7.755455E-18,-6.349834E-17
3952.5842,1.8470067E-16,7.851549E-18,-7.426721E-17
3958.1091,1.8236855E-16,7.774368E-18,-7.610958E-17
3963.6343,1.872826E-16,7.710756E-18,-8.5856126E-17
3969.1592,1.820813E-16,7.5896245E-18,-8.947984E-17
3974.6843,1.9525293E-16,7.723974E-18,-8.006487E-17
3980.2092,1.7932985E-16,7.676622E-18,-5.8361086E-17
3985.7341,1.7034903E-16,7.537089E-18,-6.207805E-17
3991.2593,1.7918422E-16,7.554902E-18,-6.418027E-17
3996.7842,1.7783036E-16,7.5147415E-18,-6.35058E-17
4002.3093,1.8521421E-16,7.548168E-18,-6.272533E-17
4007.8342,1.8774361E-16,7.56429E-18,-5.92505E-17
4013.3594,1.905289E-16,7.602795E-18,-5.0701877E-17
4018.8843,1.7998599E-16,7.48467E-18,-4.8267057E-17
4024.4092,1.764467E-16,7.335351E-18,-6.0982044E-17
4029.9343,1.6946588E-16,7.307111E-18,-4.9408216E-17
4035.4592,1.7647092E-16,7.333464E-18,-4.8106287E-17
4040.9844,2.0532616E-16,7.492833E-18,-5.9362094E-17
4046.5093,1.9436954E-16,7.439107E-18,-4.8697033E-17
4052.0344,1.9578567E-16,7.417321E-18,-5.0931525E-17
4057.5593,1.738022E-16,7.279931E-18,-3.4275913E-17
4063.0845,1.9469694E-16,7.360759E-18,-4.9086916E-17
4068.6094,1.8602036E-16,7.289414E-18,-4.24893E-17
4074.1343,1.8572964E-16,7.22056E-18,-4.7669327E-17
4079.6594,2.079488E-16,7.3764865E-18,-4.8197915E-17
4085.1843,1.8136382E-16,7.150862E-18,-4.3246187E-17
4090.7095,1.8893431E-16,7.155425E-18,-4.896437E-17
4096.2344,1.9162262E-16,7.121078E-18,-5.4416715E-17
4101.7593,1.7757444E-16,6.994656E-18,-5.0583547E-17
4107.2847,1.828871E-16,7.034009E-18,-5.0071257E-17
4112.8096,1.8571866E-16,7.058412E-18,-4.6534557E-17
4118.3345,1.8391056E-16,7.043117E-18,-4.1088864E-17
4123.8594,1.9226766E-16,7.010345E-18,-5.468061E-17
4129.3843,1.8455035E-16,7.033565E-18,-3.864889E-17
4134.9097,1.7255288E-16,6.8552436E-18,-4.4910795E-17
4140.4346,1.9914034E-16,7.042044E-18,-4.7862847E-17
4145.9595,1.8758517E-16,6.9185436E-18,-4.995023E-17
4151.4844,1.817632E-16,6.8909654E-18,-4.4120967E-17
4157.0093,1.6746293E-16,6.8030134E-18,-3.500222E-17
4162.5347,1.8722402E-16,6.957439E-18,-3.5723505E-17
4168.0596,1.8334625E-16,6.887269E-18,-3.5929913E-17
4173.5845,1.8975106E-16,6.931906E-18,-3.796717E-17
