WAVE,FLUX,ERR,SKYBACK
3358.454,3.091581E-17,1.5676045E-17,5.903135E-17
3362.5408,2.0667422E-17,1.5015917E-17,4.3809877E-17
3366.6274,7.9201286E-17,1.5157085E-17,-8.986251E-19
3370.714,-2.72636E-19,1.435692E-17,5.777788E-17
3374.8008,-8.59426E-18,1.4155605E-17,6.392846E-17
3378.8875,2.0906568E-17,1.38223435E-17,3.589506E-17
3382.9744,6.4911516E-17,1.4125188E-17,2.9599358E-17
3387.061,2.986025E-17,1.3500546E-17,3.948779E-17
3391.1477,7.661046E-17,1.3593011E-17,4.0975244E-18
3395.2344,9.84174E-17,1.3863216E-17,2.1842667E-17
3399.321,5.2847064E-17,1.3318786E-17,5.3984454E-17
3403.4077,6.5037215E-17,1.2993682E-17,3.0260606E-17
3407.4944,3.3077308E-17,1.2582149E-17,5.861201E-17
3411.581,4.91595E-17,1.2312916E-17,3.4804713E-17
3415.668,6.496126E-17,1.2566964E-17,4.9772113E-17
3419.7546,8.750535E-17,1.2469542E-17,3.0247907E-17
3423.8413,7.8148226E-17,1.1990263E-17,1.9995511E-17
3427.928,8.212909E-17,1.2111612E-17,4.3348718E-17
3432.0146,5.953434E-17,1.16896445E-17,4.929651E-17
3436.1013,5.669519E-17,1.16717525E-17,6.7481196E-17
3440.188,7.954971E-17,1.1670143E-17,5.2574177E-17
3444.2747,6.589353E-17,1.1263579E-17,5.0994292E-17
3448.3616,9.2267676E-17,1.1199569E-17,2.754118E-17
3452.4482,8.7881065E-17,1.1034842E-17,3.2886868E-17
3456.535,9.929244E-17,1.08879385E-17,2.3141254E-17
3460.6216,8.07492E-17,1.06758486E-17,3.7435746E-17
3464.7083,6.627437E-17,1.0690962E-17,7.129286E-17
3468.795,3.4463342E-17,1.0350291E-17,9.7033904E-17
3472.8816,6.530152E-17,1.0321411E-17,6.5319164E-17
3476.9685,9.071948E-17,1.0249132E-17,4.1604895E-17
3481.0552,7.895235E-17,9.95445E-18,3.8803684E-17
3485.1418,8.5540296E-17,1.000106E-17,4.5478804E-17
3489.2285,6.4328824E-17,9.450166E-18,3.6526575E-17
3493.3152,6.045623E-17,9.360309E-18,4.3682227E-17
3497.4019,4.010502E-17,9.068891E-18,5.481543E-17
3501.4885,3.873731E-17,8.5524975E-18,2.8214522E-17
3505.5752,5.415573E-17,8.734907E-18,3.0443257E-17
3509.662,5.9405504E-17,8.739241E-18,3.2935278E-17
3513.7488,9.4885934E-17,8.819385E-18,4.1223398E-18
3517.8354,5.929044E-17,8.4786335E-18,2.8535822E-17
