WAVE,FLUX,ERR,SKYBACK
3669.0796,-3.725487E-18,7.892912E-18,1.289964E-16
3674.6035,1.1480075E-17,7.767454E-18,1.05079394E-16
3680.1274,1.7686098E-17,7.720261E-18,9.726086E-17
3685.6514,2.483865E-17,7.973989E-18,1.1853358E-16
3691.1753,2.7889294E-17,8.108245E-18,1.3364257E-16
3696.6992,8.450075E-18,7.908021E-18,1.4593376E-16
3702.2231,2.9743416E-17,8.025977E-18,1.3697185E-16
3707.747,2.0034705E-17,7.771992E-18,1.3206668E-16
3713.271,-5.877362E-19,7.450587E-18,1.3039175E-16
3718.795,-9.677416E-19,7.489762E-18,1.4221519E-16
3724.3188,1.8493826E-17,7.723594E-18,1.5388955E-16
3729.8425,2.280336E-17,7.8592275E-18,1.709486E-16
3735.3665,5.0361167E-18,7.644901E-18,1.8070131E-16
3740.8904,1.6760183E-17,7.5307474E-18,1.6314961E-16
3746.4143,2.4805211E-17,7.321654E-18,1.4143634E-16
3751.9382,2.6058204E-17,7.126668E-18,1.286928E-16
3757.4622,2.3748084E-17,6.837486E-18,1.1106927E-16
3762.986,1.839442E-17,6.7104547E-18,1.1342381E-16
3768.51,2.130153E-17,6.5806817E-18,1.0530068E-16
3774.034,-6.2086736E-20,6.3891124E-18,1.200101E-16
3779.5579,4.5610636E-18,6.307698E-18,1.1667982E-16
3785.0818,9.567555E-18,6.2197067E-18,1.08266785E-16
3790.6057,2.8200245E-17,6.3133853E-18,1.01576165E-16
3796.1296,1.6831306E-17,6.1082482E-18,1.03224014E-16
3801.6536,2.4405451E-17,6.100982E-18,9.996201E-17
3807.1775,1.8190367E-17,6.0183395E-18,1.0673143E-16
3812.7014,1.8724151E-17,6.0368224E-18,1.1511571E-16
3818.225,1.9504163E-17,6.0481118E-18,1.2218988E-16
3823.749,1.9566196E-17,6.0778084E-18,1.3251505E-16
3829.273,2.7893963E-17,6.1665306E-18,1.4045491E-16
3834.7969,1.5833706E-17,6.0385504E-18,1.478391E-16
3840.3208,1.7079038E-17,5.8574566E-18,1.3381371E-16
3845.8447,1.1184432E-17,5.6046896E-18,1.2082831E-16
3851.3687,1.0024438E-17,5.4778237E-18,1.1667913E-16
3856.8926,1.0090192E-17,5.3116716E-18,1.0463883E-16
3862.4165,5.508422E-18,5.159707E-18,1.0163513E-16
3867.9404,1.9231393E-17,5.147051E-18,8.7698105E-17
3873.4644,1.514924E-17,4.9766995E-18,8.0851624E-17
3878.9883,1.8545697E-17,4.9224385E-18,7.66257E-17
3884.5122,1.0660142E-17,4.722508E-18,7.3081E-17
3890.0361,7.804417E-18,4.679132E-18,7.937787E-17
3895.56,2.7484916E-17,4.946446E-18,8.3612614E-17
3901.0837,5.529385E-18,4.8691383E-18,1.1174272E-16
