"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"8541","","iPTF16bad","259.165552","28.370161","SLSN-I","0.247","25948","2016-06-04 11:16:52.00","2457543.9700463","","Keck2","DEIMOS","Blagorodnova","Cao","iPTF","Y","iPTF","2018-12-24","iPTF16bad_2016-06-04_11-16-52_Keck2_DEIMOS_iPTF.ascii","iPTF16bad_2016-06-04_11-16-52_Keck2_DEIMOS_iPTF.fits","Object","Low","","Air","Angstrom","1","Other","","","","","","","","","","4550","9649.38345","0.63615062999002","Yan et al. 2017","2017ApJ...848....6Y","[Marshal: lastmodified=2016-06-04 17:51:38; specid=8792]  [Prev. spec info - createdby: upload-marshalspec; modifiedby: upload-marshalspec]"," Migration From WISeREP1.0","2016-06-16 12:04:35"
"8541","","iPTF16bad","259.165552","28.370161","SLSN-I","0.247","25949","2016-06-07 11:48:27.00","2457546.9919792","","Keck1","LRIS","Blagorodnova","Lunnan (pipeline)","iPTF","Y","iPTF","2018-12-24","iPTF16bad_2016-06-07_11-48-27_Keck1_LRIS_iPTF.ascii","","Object","Low","","Air","Angstrom","1","Other","","","","","","","","","","3070.3474","10285.7021","1.4111783101897","Yan et al. 2017","2017ApJ...848....6Y","[Marshal: lastmodified=2016-06-07 12:54:09; specid=8811]  [Prev. spec info - createdby: upload-marshalspec; modifiedby: upload-marshalspec]"," Migration From WISeREP1.0","2016-06-16 12:04:35"
"8541","","iPTF16bad","259.165552","28.370161","SLSN-I","0.247","25950","2016-09-30 05:20:27.00","2457661.7225347","","Keck1","LRIS","Lunnan, Ho","Lunnan (pipeline)","iPTF","Y","iPTF","2018-12-24","iPTF16bad_2016-09-30_05-20-27_Keck1_LRIS_iPTF.ascii","","Object","Low","","Air","Angstrom","1","Other","","","","","","","","","","3069.5039","10294.8203","1.4128502933125","Yan et al. 2017","2017ApJ...848....6Y","[Marshal: lastmodified=2016-09-30 00:26:24; specid=9317]  [Prev. spec info - createdby: upload-marshalspec; modifiedby: upload-marshalspec]"," Migration From WISeREP1.0","2016-06-16 12:04:35"
"8541","","iPTF16bad","259.165552","28.370161","SLSN-I","0.247","25951","2017-03-29 14:16:48.00","2457842.095","","Keck1","LRIS","Lunnan, Ho, De","Lunnan (pipeline)","iPTF","Y","iPTF","2018-12-24","iPTF16bad_2017-03-29_14-16-48_Keck1_LRIS_iPTF.ascii","","Object","Low","","Air","Angstrom","1","Other","","","","","","","","","","3057.0571","10300.739","1.4103742017134","Yan et al. 2017","2017ApJ...848....6Y","[Marshal: lastmodified=2017-03-29 08:33:13; specid=9872]  [Prev. spec info - createdby: upload-marshalspec; modifiedby: upload-marshalspec]"," Migration From WISeREP1.0","2016-06-16 12:04:35"
