"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"2328","","DES14X3taz","37.018625","-4.086889","SLSN-I","0.608","7638","2015-01-26 20:14:53.00","2457049.343669","","GTC","OSIRIS","Castander, Casas","Smith, M.","","Y","","","DES14X3taz_2015-01-26_20-14-53_GTC_OSIRIS_None.txt","","Object","High","","Air","Angstrom","1","Other","","3600","0.8","","1.28","","R500R","","","5203.74","8998.81","4.6056674757282","Smith et al. 2016","2016ApJ...818L...8S","[Data obtained from:Smith, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2015-12-22 07:55:40"
"2328","","DES14X3taz","37.018625","-4.086889","SLSN-I","0.608","7639","2015-02-06 20:25:46.00","2457060.3512269","","GTC","OSIRIS","Castander, Casas","Smith, M.","","Y","","","DES14X3taz_2015-02-06_20-25-46_GTC_OSIRIS_None.txt","","Object","High","","Air","Angstrom","1","Other","","3000","0.8","","1.4","","R500R","","","5202.52","8998.38","4.6066262135922","Smith et al. 2016","2016ApJ...818L...8S","[Data obtained from:Smith, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2015-12-22 07:55:40"
