% File created by shivutils (I.Shivvers)
% wl(A)   flm    er(optional)
3489.00   7.80107927   0.30134401
3490.00   7.85309315   0.30172196
3491.00   7.93198681   0.30138582
3492.00   7.83485651   0.29785299
3493.00   7.96017313   0.29853871
3494.00   8.17288303   0.30045888
3495.00   8.19072342   0.29899943
3496.00   8.09027195   0.29590482
3497.00   7.89140320   0.29211456
3498.00   7.84431553   0.29011330
3499.00   7.81286240   0.29051733
3500.00   7.61792898   0.28899333
3501.00   7.61047745   0.28770432
3502.00   7.84858704   0.28955075
3503.00   7.93123007   0.28838187
3504.00   7.86635876   0.28602862
3505.00   7.94701052   0.28690282
3506.00   7.83813286   0.28500229
3507.00   7.88565254   0.28489232
3508.00   7.97525930   0.28515017
3509.00   7.98669004   0.28389665
3510.00   7.80688429   0.28115588
3511.00   7.92105055   0.28237292
3512.00   7.95734692   0.27973580
3513.00   7.78838682   0.27735424
3514.00   7.75115299   0.27724752
3515.00   7.89211130   0.28032094
3516.00   8.01625633   0.28145224
3517.00   7.94348621   0.28054535
3518.00   7.65903568   0.27673578
3519.00   7.96103668   0.27718332
3520.00   8.12380123   0.27915439
3521.00   7.71134186   0.27543941
3522.00   8.05978107   0.27772978
3523.00   7.91834259   0.27537340
3524.00   7.44577217   0.26958102
3525.00   7.86290359   0.27530646
3526.00   7.87595320   0.27596530
3527.00   7.97562265   0.27716079
3528.00   8.03183270   0.27678141
3529.00   7.89867735   0.27686051
3530.00   7.89296532   0.27809310
3531.00   8.08751011   0.27942708
3532.00   8.23605537   0.27946520
3533.00   8.37745094   0.28263301
3534.00   8.16409111   0.27994591
3535.00   7.97450399   0.27678034
3536.00   8.11902142   0.27835682
3537.00   8.01066875   0.27778280
3538.00   8.09124565   0.27975160
3539.00   8.21505165   0.28119826
3540.00   8.08229065   0.27965209
3541.00   8.28551006   0.28334546
3542.00   8.34539986   0.28458226
3543.00   8.45311832   0.28458506
3544.00   8.72747898   0.28707641
3545.00   8.31448746   0.28217614
3546.00   8.14167595   0.28027335
3547.00   8.01409435   0.27871099
3548.00   8.08162594   0.27885616
3549.00   8.40244579   0.28229031
3550.00   8.37218094   0.28207850
3551.00   8.15249920   0.27923328
3552.00   7.87519836   0.27593079
3553.00   8.08476257   0.27722859
3554.00   8.11692047   0.27740374
3555.00   8.16024113   0.27989128
3556.00   7.86967087   0.27564132
3557.00   8.12859058   0.27814957
3558.00   8.05833435   0.27798992
3559.00   7.90341377   0.27411270
3560.00   7.80790854   0.27278176
3561.00   8.20162010   0.27809808
3562.00   8.13934231   0.27576336
3563.00   7.98682880   0.27310219
3564.00   8.15413952   0.27370197
3565.00   8.00290012   0.27187508
3566.00   7.75377798   0.26718876
3567.00   7.58544254   0.26506031
3568.00   7.88836241   0.26868954
3569.00   7.84375763   0.26765537
3570.00   7.60898352   0.26512855
3571.00   7.76973724   0.26549029
3572.00   8.03320408   0.26745474
3573.00   7.80080175   0.26588729
3574.00   7.63056850   0.26471317
3575.00   7.75360870   0.26490369
3576.00   7.61448383   0.26198125
3577.00   7.58200264   0.25974101
3578.00   7.64811611   0.25883728
3579.00   7.45178413   0.25622371
3580.00   7.49406099   0.25621653
3581.00   7.72439909   0.25720063
3582.00   7.63694000   0.25398135
3583.00   7.36587191   0.25031155
3584.00   7.37712574   0.25077131
3585.00   7.45804977   0.25056940
3586.00   7.24054670   0.24633685
3587.00   7.17815924   0.24655148
3588.00   7.18146896   0.24772134
3589.00   7.32644224   0.24868263
3590.00   7.23022175   0.24693878
3591.00   7.21628094   0.24619448
3592.00   7.13796377   0.24319045
3593.00   7.27773714   0.24562928
3594.00   6.99980164   0.24276458
3595.00   7.17860651   0.24342142
3596.00   7.10978746   0.24184616
3597.00   7.05686140   0.24268022
3598.00   7.10023451   0.24244805
3599.00   6.87933445   0.23824489
3600.00   7.19667244   0.24160460
3601.00   7.19362259   0.24013434
3602.00   7.24889421   0.23833747
3603.00   7.14099169   0.23709995
3604.00   7.31934214   0.23914184
3605.00   7.20397043   0.23692799
3606.00   7.32595348   0.23755185
3607.00   7.27024126   0.23709787
3608.00   7.19989967   0.23715220
3609.00   7.12870646   0.23564273
3610.00   7.42515326   0.23858717
3611.00   7.39148951   0.23953150
3612.00   7.21797132   0.23829523
3613.00   7.18642330   0.23762606
3614.00   7.38924980   0.23911870
3615.00   7.27447081   0.23709089
3616.00   7.17940903   0.23407765
3617.00   7.39106131   0.23502415
3618.00   7.20276308   0.23313081
3619.00   7.12798262   0.23173650
3620.00   7.27486420   0.23393154
3621.00   7.16870785   0.23384194
3622.00   7.20538712   0.23285423
3623.00   7.14260817   0.23159903
3624.00   7.08072519   0.23116958
3625.00   7.23653698   0.23279512
3626.00   7.29953623   0.23337843
3627.00   7.56264782   0.23610258
3628.00   7.44320154   0.23472510
3629.00   7.11910391   0.23090838
3630.00   7.10057163   0.22970106
3631.00   7.46120453   0.23229159
3632.00   7.39609432   0.23174828
3633.00   7.36865616   0.23102137
3634.00   7.12255621   0.22809204
3635.00   7.41176844   0.23074916
3636.00   7.39496994   0.23056415
3637.00   7.28343439   0.22966656
3638.00   7.41314793   0.22927463
3639.00   7.27946997   0.22775146
3640.00   7.43514681   0.23034674
3641.00   7.48671675   0.23109022
3642.00   7.25578403   0.22833480
3643.00   7.26618052   0.22824369
3644.00   7.27807236   0.22702478
3645.00   7.19130707   0.22652857
3646.00   7.13887310   0.22881673
3647.00   7.10994387   0.23403139
3648.00   7.04259920   0.23927315
3649.00   7.26127386   0.24426168
3650.00   7.27351141   0.24354842
3651.00   7.18349791   0.23887330
3652.00   7.25850964   0.23628385
3653.00   7.03432369   0.23168007
3654.00   6.87733221   0.22822493
3655.00   7.04809380   0.22693193
3656.00   7.32498789   0.22623484
3657.00   7.33528852   0.22431962
3658.00   7.20085192   0.22068657
3659.00   7.14941549   0.21985067
3660.00   7.21780729   0.22445543
3661.00   7.10132217   0.22546366
3662.00   6.90710115   0.22206661
3663.00   7.19310045   0.22412258
3664.00   7.29803944   0.22364323
3665.00   7.12008953   0.21780282
3666.00   7.10181475   0.21447594
