# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
3632.00   0.04979428   0.02014482
3634.00   0.05805846   0.01886249
3636.00   0.06297649   0.01899278
3638.00   0.09212461   0.01975208
3640.00   0.08131088   0.01935775
3642.00   0.05870698   0.01941376
3644.00   0.04911740   0.01951082
3646.00   0.01022799   0.01948963
3648.00   0.06207234   0.02214491
3650.00   0.09935549   0.02669008
3652.00   0.01766329   0.02696620
3654.00   0.01368781   0.02436295
3656.00   0.06250632   0.02334515
3658.00   0.03563932   0.02075005
3660.00   0.04678762   0.01945543
3662.00   0.02344121   0.02060661
3664.00   0.03958996   0.02183433
3666.00   0.03880589   0.01990516
3668.00   0.01553730   0.01751759
3670.00   0.03890457   0.01733251
3672.00   0.03922970   0.01716992
3674.00   0.03397270   0.01727038
3676.00   0.02669411   0.01687538
3678.00   0.06434470   0.01715942
3680.00   0.05562874   0.01658509
3682.00   0.05809112   0.01621599
3684.00   0.04667036   0.01596412
3686.00   0.03072446   0.01611608
3688.00   0.02204493   0.01613852
3690.00   0.05027588   0.01659213
3692.00   0.05233652   0.01653096
3694.00   0.05557628   0.01601300
3696.00   0.01143948   0.01620083
3698.00   0.01972035   0.01564375
3700.00   0.02068024   0.01656366
3702.00   0.05059621   0.01645532
3704.00   0.05131400   0.01629309
3706.00   0.05382689   0.01620848
3708.00   0.03752562   0.01611385
3710.00   0.03311659   0.01573321
3712.00   0.03552651   0.01581193
3714.00   0.02888025   0.01531348
3716.00   0.03861814   0.01593026
3718.00   0.01669203   0.01519706
3720.00   0.01804397   0.01499445
3722.00   0.04850024   0.01497168
3724.00   0.02462931   0.01492915
3726.00   0.04983896   0.01537072
3728.00   0.06426706   0.01615672
3730.00   0.04585996   0.01558463
3732.00   0.06857846   0.01565280
3734.00   0.03556150   0.01510621
3736.00   0.02743258   0.01517369
3738.00   0.02854875   0.01513254
3740.00   0.05512383   0.01575874
3742.00   0.04618281   0.01531775
3744.00   0.00854642   0.01472952
3746.00   0.05682512   0.01518908
3748.00   0.03935723   0.01466293
3750.00   0.04211137   0.01471318
3752.00   0.04251129   0.01463603
3754.00   0.02403919   0.01461291
3756.00   0.00899812   0.01428478
3758.00   0.02277065   0.01458595
3760.00   0.02739877   0.01428838
3762.00   0.04279799   0.01405281
3764.00   0.04199219   0.01412705
3766.00   0.02306532   0.01374808
3768.00   0.03359337   0.01423432
3770.00   0.03892646   0.01448686
3772.00   0.04328851   0.01402418
3774.00   0.02980896   0.01391143
3776.00   0.01172432   0.01393110
3778.00   0.01749767   0.01395380
3780.00   0.04545148   0.01389430
3782.00   0.04257677   0.01377377
3784.00   0.04150189   0.01400537
3786.00   0.02784568   0.01374621
3788.00   0.04084349   0.01386084
3790.00   0.03989004   0.01347847
3792.00   0.05320714   0.01388132
3794.00   0.02939625   0.01376100
3796.00   0.04563126   0.01362327
3798.00   0.02570110   0.01322723
3800.00   0.03506966   0.01308085
3802.00   0.03253357   0.01314706
3804.00   0.02218268   0.01327914
3806.00   0.04451200   0.01319597
3808.00   0.02867446   0.01275872
3810.00   0.00939318   0.01280466
3812.00   0.02738819   0.01289834
3814.00   0.05819908   0.01328454
3816.00   0.04806191   0.01343465
3818.00   0.02565358   0.01269632
3820.00   0.04453911   0.01291093
3822.00   0.02426909   0.01272566
3824.00   0.05272674   0.01276368
3826.00   0.04959863   0.01260808
3828.00   0.02412828   0.01310700
3830.00   0.03217559   0.01341504
3832.00   0.04872759   0.01311126
3834.00   0.02925537   0.01255999
3836.00   0.07527938   0.01277795
3838.00   0.05651677   0.01392009
3840.00   0.08419939   0.01565777
3842.00   0.11339699   0.01653408
3844.00   0.10328984   0.01566565
3846.00   0.04711720   0.01297683
3848.00   0.02404379   0.01175881
3850.00   0.04419583   0.01210308
3852.00   0.03776594   0.01195183
3854.00   0.02203432   0.01198374
3856.00   0.05268481   0.01202064
3858.00   -0.01875082   0.01269266
3860.00   0.03550532   0.01170989
3862.00   0.05664531   0.01173619
3864.00   0.02911230   0.01125895
3866.00   0.02197882   0.01142742
3868.00   0.01778893   0.01158368
3870.00   0.02964920   0.01170006
3872.00   0.01332731   0.01140033
