# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
3630.00   0.64157385   0.05629882
3632.00   0.70334971   0.05572337
3634.00   0.66366082   0.05633346
3636.00   0.59640461   0.05700992
3638.00   0.55702323   0.05746692
3640.00   0.70256305   0.05922690
3642.00   0.73276317   0.05852326
3644.00   0.68543321   0.05670372
3646.00   0.71766794   0.05711762
3648.00   0.54980499   0.05948678
3650.00   0.76266843   0.06400010
3652.00   0.65718633   0.06295014
3654.00   0.70646143   0.06232730
3656.00   0.72311145   0.06084658
3658.00   0.63046539   0.05956117
3660.00   0.72683871   0.06020493
3662.00   0.69098115   0.05980730
3664.00   0.74680686   0.05945958
3666.00   0.69931525   0.05675827
3668.00   0.65270203   0.05522272
3670.00   0.63061559   0.05516044
3672.00   0.70886326   0.05625439
3674.00   0.70004237   0.05550567
3676.00   0.76191974   0.05472802
3678.00   0.67639220   0.05237453
3680.00   0.74716514   0.05242110
3682.00   0.66150206   0.05276574
3684.00   0.71962506   0.05279926
3686.00   0.73354447   0.05133756
3688.00   0.71144569   0.05189619
3690.00   0.71040916   0.05393149
3692.00   0.70479649   0.05382361
3694.00   0.80410844   0.05281691
3696.00   0.60580581   0.05245461
3698.00   0.61742723   0.05368079
3700.00   0.64342058   0.05351317
3702.00   0.70669585   0.05273214
3704.00   0.67468733   0.04977855
3706.00   0.72079742   0.04854953
3708.00   0.65711057   0.04896747
3710.00   0.61098689   0.05050973
3712.00   0.64110965   0.05234035
3714.00   0.55130577   0.05222183
3716.00   0.61288428   0.05062614
3718.00   0.51224256   0.04675899
3720.00   0.68722254   0.04499253
3722.00   0.58293819   0.04572610
3724.00   0.66446531   0.04900581
3726.00   0.64499432   0.04870570
3728.00   0.79508680   0.04878197
3730.00   0.64222354   0.04778231
3732.00   0.70616192   0.04514869
3734.00   0.56301749   0.04188276
3736.00   0.53341419   0.04231864
3738.00   0.53339577   0.04532117
3740.00   0.59819478   0.04745838
3742.00   0.55155140   0.04535406
3744.00   0.59995162   0.04336064
3746.00   0.63154000   0.04176024
3748.00   0.72396523   0.04163938
3750.00   0.63453001   0.04306325
3752.00   0.61517602   0.04552159
3754.00   0.60094148   0.04718925
3756.00   0.65164483   0.04545514
3758.00   0.69757789   0.04321641
