#fits:2017egm.0001.f.fits
#Wavelength(Angstroms)  Flux(erg/s/cm2/AA)
3399.55675123518  1.2755201E-17
3402.861427940438  1.461514E-17
3406.1661046456957  1.01422335E-17
3409.4707813509535  1.6045386E-17
3412.7754580562114  1.930273E-17
3416.0801347614693  1.5701642E-17
3419.384811466727  1.3425719E-17
3422.689488171985  1.5132449E-17
3425.994164877243  1.547573E-17
3429.2988415825007  2.2629319E-17
3432.6035182877586  2.3074177E-17
3435.9081949930164  2.6867323E-17
3439.2128716982743  1.8618371E-17
3442.517548403532  2.5629728E-17
3445.82222510879  1.8966735E-17
3449.126901814048  1.8661031E-17
3452.4315785193057  1.821315E-17
3455.7362552245636  2.482171E-17
3459.0409319298215  2.8724598E-17
3462.3456086350793  2.4342779E-17
3465.650285340337  2.4153637E-17
3468.954962045595  2.8365545E-17
3472.259638750853  3.264295E-17
3475.5643154561108  2.9472343E-17
3478.8689921613686  2.567884E-17
3482.1736688666265  2.9184735E-17
3485.4783455718843  2.9963956E-17
3488.783022277142  2.8167412E-17
3492.0876989824  2.673981E-17
3495.392375687658  2.6215918E-17
3498.697052392916  2.830694E-17
3502.0017290981737  3.6987848E-17
3505.3064058034315  3.506866E-17
3508.6110825086894  3.1898255E-17
3511.9157592139472  2.9620305E-17
3515.220435919205  3.3525528E-17
3518.525112624463  3.181647E-17
3521.829789329721  3.3719372E-17
3525.1344660349787  3.2881822E-17
3528.4391427402365  3.494358E-17
3531.7438194454944  3.4418922E-17
3535.0484961507523  3.7553884E-17
3538.35317285601  3.7448366E-17
3541.657849561268  3.1733292E-17
3544.962526266526  3.298549E-17
3548.2672029717837  2.9957428E-17
3551.5718796770416  3.5363235E-17
3554.8765563822994  3.3322905E-17
3558.1812330875573  3.269851E-17
3561.485909792815  3.2641586E-17
3564.790586498073  3.433707E-17
3568.095263203331  3.1170746E-17
3571.3999399085887  3.2161702E-17
3574.7046166138466  3.2894488E-17
3578.0092933191045  3.1204578E-17
3581.3139700243623  3.3910183E-17
3584.61864672962  2.947501E-17
3587.923323434878  3.0387367E-17
3591.228000140136  3.2154777E-17
3594.532676845394  2.8605715E-17
3597.8373535506516  2.606969E-17
3601.1420302559095  3.032631E-17
3604.4467069611674  2.6753182E-17
3607.751383666425  2.7593346E-17
3611.056060371683  2.7110469E-17
3614.360737076941  2.5994179E-17
3617.665413782199  2.556946E-17
3620.9700904874567  2.3572161E-17
3624.2747671927145  2.3810116E-17
3627.5794438979724  2.2512015E-17
3630.8841206032303  2.0729598E-17
3634.188797308488  2.313458E-17
3637.493474013746  2.5548247E-17
3640.798150719004  2.4533657E-17
3644.1028274242617  2.3290384E-17
3647.4075041295196  2.6696617E-17
3650.7121808347774  2.544417E-17
3654.0168575400353  2.4815564E-17
3657.321534245293  2.2225051E-17
3660.626210950551  1.8756001E-17
3663.930887655809  2.2448946E-17
3667.2355643610667  2.4585499E-17
3670.5402410663246  2.2909419E-17
3673.8449177715825  2.1204126E-17
3677.1495944768403  2.2373604E-17
3680.454271182098  2.2315E-17
3683.758947887356  2.1206376E-17
3687.063624592614  2.21895E-17
3690.3683012978718  2.1663614E-17
3693.6729780031296  2.0252502E-17
3696.9776547083875  2.0419402E-17
3700.2823314136454  2.267382E-17
3703.587008118903  2.2631178E-17
