# File created by shivutils (I.Shivvers)
# wl(A)   flm(10^-15 erg/s/cm2/AA)    er(optional)
3992.00   0.29054207   0.02365202
3994.00   0.31414190   0.02373295
3996.00   0.30826625   0.02340833
3998.00   0.27107495   0.02343357
4000.00   0.30418885   0.02363688
4002.00   0.21645971   0.02255661
4004.00   0.28708231   0.02323510
4006.00   0.29900751   0.02325517
4008.00   0.32391667   0.02395439
4010.00   0.30319038   0.02379019
4012.00   0.27888232   0.02373009
4014.00   0.27360913   0.02355585
4016.00   0.33088541   0.02382627
4018.00   0.32487085   0.02422754
4020.00   0.31793585   0.02486747
4022.00   0.33112264   0.02482900
4024.00   0.34542704   0.02469500
4026.00   0.36952072   0.02485421
4028.00   0.40823933   0.02503545
4030.00   0.35744652   0.02388361
4032.00   0.33803639   0.02383875
4034.00   0.32947189   0.02370205
4036.00   0.31553188   0.02396484
4038.00   0.31994456   0.02382533
4040.00   0.35423511   0.02436494
4042.00   0.37030888   0.02493561
4044.00   0.35604873   0.02654696
4046.00   0.36612731   0.02796668
4048.00   0.36239964   0.02676903
4050.00   0.34279406   0.02414293
4052.00   0.34024057   0.02350117
4054.00   0.42144006   0.02345285
4056.00   0.42316157   0.02374836
4058.00   0.38257241   0.02371817
4060.00   0.41621616   0.02417176
4062.00   0.44217327   0.02433536
4064.00   0.41504830   0.02415689
4066.00   0.41017136   0.02454319
4068.00   0.37623182   0.02395340
4070.00   0.43420318   0.02425697
4072.00   0.40013877   0.02371476
4074.00   0.47783089   0.02433771
4076.00   0.40788934   0.02435507
4078.00   0.41483128   0.02389343
4080.00   0.42767528   0.02431007
4082.00   0.42387322   0.02379391
4084.00   0.46525246   0.02332160
4086.00   0.44211891   0.02329042
4088.00   0.42760473   0.02290924
4090.00   0.43736842   0.02266659
4092.00   0.39616215   0.02277891
4094.00   0.42032835   0.02248607
4096.00   0.44895938   0.02278193
4098.00   0.43971753   0.02282325
4100.00   0.42548648   0.02221957
4102.00   0.45511806   0.02233283
4104.00   0.41758627   0.02269993
4106.00   0.42088553   0.02280322
4108.00   0.47080803   0.02309769
4110.00   0.44232252   0.02269702
4112.00   0.45801613   0.02294066
4114.00   0.42999816   0.02332435
4116.00   0.45914432   0.02293569
4118.00   0.45992219   0.02294312
4120.00   0.48644444   0.02291184
4122.00   0.38661534   0.02256851
4124.00   0.40098333   0.02282938
4126.00   0.42604503   0.02246168
4128.00   0.41508561   0.02264665
4130.00   0.44058913   0.02261066
4132.00   0.44637370   0.02268315
