% File created by shivutils (I.Shivvers)
% wl(A)   flm    er(optional)
3446.00   6.40972614   0.35864773
3447.00   6.49647045   0.35957551
3448.00   7.20635128   0.36815017
3449.00   7.10637283   0.37123269
3450.00   7.13450336   0.36855191
3451.00   7.50286436   0.36931431
3452.00   7.14655209   0.36619458
3453.00   7.24809837   0.36525604
3454.00   6.93248653   0.36329785
3455.00   6.56104040   0.35728836
3456.00   6.86309910   0.35332525
3457.00   6.87006855   0.34776857
3458.00   7.06599379   0.34297594
3459.00   6.74268913   0.33915287
3460.00   6.95124340   0.34306502
3461.00   6.99218607   0.34682840
3462.00   6.48531914   0.34522057
3463.00   7.27174520   0.35022995
3464.00   7.16426754   0.35024887
3465.00   6.86453533   0.34532502
3466.00   6.74090052   0.34358275
3467.00   7.10695934   0.35062823
3468.00   6.39839172   0.34504521
3469.00   6.08213806   0.33867106
3470.00   6.24210024   0.33655262
3471.00   6.72191858   0.33502474
3472.00   6.68856621   0.32700753
3473.00   6.27876091   0.31750497
3474.00   6.21245003   0.31309006
3475.00   6.64116049   0.31743702
3476.00   6.83146858   0.32513893
3477.00   6.56109190   0.32780623
3478.00   6.82553625   0.33343926
3479.00   6.87686062   0.33552268
3480.00   6.64114189   0.33133581
3481.00   6.65124941   0.32761669
3482.00   6.51271582   0.32333741
3483.00   6.81928587   0.32586348
3484.00   6.77546215   0.32535392
3485.00   6.64422083   0.32673585
3486.00   6.20656109   0.32366887
3487.00   5.87532282   0.31850159
3488.00   5.92147207   0.30944720
3489.00   6.37493134   0.30723295
3490.00   6.51585340   0.30902371
3491.00   6.67366076   0.31273553
3492.00   7.00354290   0.31924686
3493.00   6.62899065   0.31513143
3494.00   6.59393072   0.31340688
3495.00   6.50935650   0.31129226
3496.00   6.51252174   0.31266826
3497.00   6.55645514   0.31746987
3498.00   6.26986647   0.31774399
3499.00   6.55125427   0.32533279
3500.00   6.43236732   0.32499486
3501.00   5.89801121   0.32467705
3502.00   6.46832991   0.32845968
3503.00   6.52008200   0.32451218
3504.00   5.77270794   0.31360975
3505.00   6.21175623   0.31637502
3506.00   6.28927088   0.31822827
3507.00   5.87199354   0.31190813
3508.00   6.37852144   0.31252024
3509.00   6.41393805   0.31096110
3510.00   6.34190178   0.30669320
3511.00   5.83689690   0.29674050
3512.00   5.83710384   0.29365754
3513.00   5.80835295   0.29553035
3514.00   6.38489389   0.30480736
3515.00   6.31601620   0.30916679
3516.00   5.97990465   0.31002215
3517.00   6.15778112   0.31328976
3518.00   6.18836355   0.31200522
3519.00   6.19045830   0.30732125
3520.00   6.06277466   0.30015785
3521.00   5.70132494   0.29180098
3522.00   5.93981504   0.29108328
3523.00   6.37492657   0.29156575
3524.00   6.29965067   0.28791863
3525.00   5.91749716   0.28679657
3526.00   5.85648394   0.29161006
3527.00   5.92192650   0.29706103
3528.00   5.77626896   0.30051759
3529.00   6.13211632   0.30495587
3530.00   6.34009838   0.30538619
3531.00   6.05964851   0.30363080
3532.00   5.95649052   0.30233917
3533.00   6.33512020   0.30648935
3534.00   6.64228725   0.30999181
3535.00   6.30489016   0.30488962
3536.00   6.06332493   0.30528480
3537.00   5.94739008   0.30491695
3538.00   6.31707096   0.30597174
3539.00   6.55351019   0.30919901
3540.00   6.06484842   0.30540103
3541.00   6.30492306   0.30397847
3542.00   6.12964678   0.30352086
3543.00   6.00482416   0.30384478
3544.00   6.36583042   0.30687892
3545.00   6.72357178   0.30782396
3546.00   6.59774780   0.30641615
3547.00   6.53994560   0.30476233
3548.00   6.66991711   0.30765864
3549.00   6.35664272   0.30469668
3550.00   6.29799414   0.30456281
3551.00   6.56205797   0.30041426
3552.00   6.95796108   0.30027884
3553.00   6.75607204   0.29626134
3554.00   6.53007603   0.29505584
3555.00   6.40542889   0.29664576
3556.00   6.47830582   0.29695150
3557.00   6.68658066   0.29800677
3558.00   6.32008410   0.29365379
3559.00   6.15080214   0.29387388
3560.00   6.22808218   0.29674357
3561.00   6.02605534   0.29610151
3562.00   5.78051615   0.29103836
3563.00   6.36929321   0.28691110
3564.00   6.50015211   0.28163987
3565.00   6.59651184   0.27953148
3566.00   6.99024916   0.27961826
3567.00   6.68337727   0.27585045
3568.00   6.20245218   0.26976866
3569.00   5.97553825   0.26433241
3570.00   6.01841879   0.26592049
3571.00   6.60631323   0.27470678
3572.00   6.56442451   0.27650207
3573.00   6.20447636   0.27519920
3574.00   6.26019669   0.27658385
3575.00   6.00558710   0.27436024
3576.00   5.89436531   0.27154797
3577.00   5.77600050   0.26539412
3578.00   5.95627832   0.26073068
3579.00   6.23075247   0.25848576
3580.00   5.86102247   0.25268519
3581.00   6.04105854   0.25276425
3582.00   6.12047291   0.25443900
3583.00   6.10942554   0.25210002
3584.00   5.98563862   0.24867280
3585.00   5.71411085   0.24520886
3586.00   5.90009594   0.25067854
3587.00   5.81580782   0.25420323
3588.00   6.12465096   0.26139361
3589.00   5.92568016   0.26544961
3590.00   5.65395784   0.26607421
3591.00   6.05051899   0.27171785
3592.00   6.24977779   0.27279225
3593.00   6.61981297   0.27614090
3594.00   6.52692938   0.27692872
3595.00   6.75409651   0.28009489
3596.00   6.48794365   0.27829701
3597.00   6.33882713   0.27850974
3598.00   6.44230843   0.28018674
3599.00   6.29644156   0.27528274
3600.00   6.70259237   0.27430105
3601.00   6.38043213   0.26784950
3602.00   6.12799883   0.26077878
3603.00   6.00074148   0.25727433
3604.00   6.12330532   0.25716388
3605.00   6.09239912   0.25333303
3606.00   6.30048275   0.25222585
3607.00   6.16992188   0.24921761
3608.00   5.83751726   0.24552475
3609.00   6.00300455   0.24785540
3610.00   6.21405458   0.25131834
3611.00   5.95995331   0.25140357
3612.00   5.80952549   0.25256476
3613.00   6.04565620   0.25473720
3614.00   6.04461288   0.25394455
3615.00   5.93480539   0.25072956
3616.00   5.83438921   0.24555054
