% File created by shivutils (I.Shivvers)
% wl(A)   flm    er(optional)
3968.00   4.20503902   0.07976873
3970.00   4.51341915   0.08199009
3972.00   4.53803730   0.08257656
3974.00   4.55350590   0.08311964
3976.00   4.46798801   0.08291068
3978.00   4.55749846   0.08396590
3980.00   4.56681299   0.08396050
3982.00   4.62977219   0.08424445
3984.00   4.57892370   0.08343104
3986.00   4.55880308   0.08372354
3988.00   4.54924345   0.08366180
3990.00   4.51666355   0.08319794
3992.00   4.57776546   0.08369969
3994.00   4.56590223   0.08403796
3996.00   4.59696245   0.08404630
3998.00   4.63375568   0.08357418
4000.00   4.57659674   0.08284868
4002.00   4.58219624   0.08227113
4004.00   4.61814451   0.08200615
4006.00   4.62314081   0.08237132
4008.00   4.61338377   0.08256067
4010.00   4.62877226   0.08263893
4012.00   4.72700977   0.08310876
4014.00   4.70676422   0.08285978
4016.00   4.61351013   0.08280290
4018.00   4.66336441   0.08448092
4020.00   4.68926048   0.08572334
4022.00   4.64157152   0.08536909
4024.00   4.70890427   0.08487055
4026.00   4.75130892   0.08367877
4028.00   4.70549917   0.08301240
4030.00   4.75183249   0.08281564
4032.00   4.79999924   0.08234101
4034.00   4.84190607   0.08270741
4036.00   4.73192739   0.08194208
4038.00   4.70169163   0.08165427
4040.00   4.63484955   0.08122170
4042.00   4.75841236   0.08417799
4044.00   4.70923567   0.09321789
4046.00   4.78009033   0.09625828
4048.00   4.66695595   0.08779156
4050.00   4.37466240   0.07974081
4052.00   4.57365704   0.08027774
4054.00   4.49216795   0.07973809
4056.00   4.59142637   0.07948741
4058.00   4.72016478   0.07978331
4060.00   4.68321896   0.07933505
4062.00   4.68914032   0.07912122
4064.00   4.70336151   0.07895136
4066.00   4.75440168   0.07949034
4068.00   4.62906742   0.07881758
4070.00   4.68653870   0.07868497
4072.00   4.63662863   0.07835245
4074.00   4.65398264   0.07906865
4076.00   4.63613844   0.08039165
4078.00   4.53667879   0.07965686
4080.00   4.63688993   0.07962952
4082.00   4.61135483   0.07896324
4084.00   4.60568905   0.07848522
4086.00   4.52212811   0.07804602
4088.00   4.46731710   0.07685451
4090.00   4.43761253   0.07589497
4092.00   4.50650215   0.07630327
4094.00   4.58027697   0.07649748
4096.00   4.49495888   0.07571097
4098.00   4.44800663   0.07539992
4100.00   4.46654463   0.07494672
4102.00   4.41028309   0.07445341
4104.00   4.40920877   0.07478932
4106.00   4.42612934   0.07515137
4108.00   4.43490124   0.07516144
4110.00   4.45301723   0.07534347
4112.00   4.49671602   0.07570075
4114.00   4.39502764   0.07532868
4116.00   4.42727327   0.07529557
4118.00   4.39835548   0.07465266
4120.00   4.43871975   0.07442199
4122.00   4.44401121   0.07484033
4124.00   4.41700745   0.07451774
4126.00   4.37651443   0.07398367
4128.00   4.37990332   0.07357422
4130.00   4.43666983   0.07417639
4132.00   4.42337656   0.07431017
4134.00   4.41211987   0.07392614
4136.00   4.34467363   0.07330133
4138.00   4.42530251   0.07402590
4140.00   4.44706726   0.07381452
4142.00   4.41665220   0.07287244
4144.00   4.44499254   0.07271361
4146.00   4.31739140   0.07207805
4148.00   4.40523434   0.07261284
4150.00   4.31078053   0.07227125
4152.00   4.43984938   0.07288156
4154.00   4.44764280   0.07219548
4156.00   4.42927790   0.07172200
4158.00   4.32979012   0.07144664
4160.00   4.36658478   0.07183959
4162.00   4.44564438   0.07281470
4164.00   4.38849163   0.07281628
4166.00   4.42831564   0.07236377
4168.00   4.39417887   0.07114367
4170.00   4.40887260   0.07064151
4172.00   4.39295673   0.07010397
4174.00   4.44314289   0.07038248
4176.00   4.44584465   0.07049644
4178.00   4.40951777   0.07028520
4180.00   4.38277531   0.06979313
4182.00   4.47990417   0.06991107
4184.00   4.42151451   0.06953549
4186.00   4.47993803   0.06964918
4188.00   4.42607737   0.06933168
4190.00   4.47848606   0.06987309
4192.00   4.45844221   0.06979235
4194.00   4.43188429   0.06925974
4196.00   4.37998962   0.06846763
4198.00   4.40900040   0.06851697
4200.00   4.40987301   0.06845362
4202.00   4.38035631   0.06829555
4204.00   4.37217617   0.06842401
4206.00   4.30621672   0.06826342
4208.00   4.37610579   0.06863914
4210.00   4.35758448   0.06876775
4212.00   4.33271360   0.06829287
4214.00   4.16755676   0.06712251
4216.00   4.29728222   0.06754018
4218.00   4.25817156   0.06732453
4220.00   4.24499798   0.06706014
4222.00   4.27487135   0.06658760
4224.00   4.18844700   0.06561264
4226.00   4.09724998   0.06520100
4228.00   4.09661007   0.06545687
4230.00   4.03469181   0.06568435
4232.00   4.10673523   0.06572507
4234.00   4.04546547   0.06538938
4236.00   3.98602343   0.06488032
4238.00   3.96909261   0.06466788
4240.00   3.99488139   0.06429923
4242.00   3.96284103   0.06429534
4244.00   3.88521075   0.06528389
4246.00   3.93000650   0.06576607
4248.00   3.87169838   0.06427140
4250.00   3.91300344   0.06346162
4252.00   3.87281227   0.06307630
4254.00   3.81882048   0.06285778
4256.00   3.84062862   0.06289742
4258.00   3.82040453   0.06242532
4260.00   3.80172682   0.06215568
4262.00   3.80067205   0.06245585
4264.00   3.75104690   0.06199875
4266.00   3.82711935   0.06235910
4268.00   3.74306011   0.06144312
4270.00   3.69058895   0.06084191
4272.00   3.74591756   0.06118298
4274.00   3.70196366   0.06135324
