WAVE,FLUX,ERR,SKYBACK
3340.8164,3.4357533E-15,1.2042913E-16,1.07144E-16
3344.8972,2.9029602E-15,1.1247956E-16,2.4563352E-16
3348.9778,3.0038215E-15,1.1184432E-16,2.8072922E-16
3353.0586,3.2300562E-15,1.1151363E-16,1.9312814E-16
3357.1392,3.323859E-15,1.0889364E-16,6.092705E-17
3361.22,3.4968182E-15,1.0913763E-16,9.5956366E-17
3365.3005,3.4442102E-15,1.0608533E-16,5.6094896E-17
3369.3813,3.486895E-15,1.0291152E-16,-1.02576484E-16
3373.462,3.4997381E-15,1.0249592E-16,2.7566212E-17
3377.5427,3.3549954E-15,9.9450516E-17,8.087856E-17
3381.6235,3.3987313E-15,9.6833124E-17,-1.0354572E-17
3385.704,3.4153762E-15,9.647396E-17,6.983869E-17
3389.785,3.3497116E-15,9.3807456E-17,2.4676141E-17
3393.8655,3.4388324E-15,9.402592E-17,1.0518257E-16
3397.9463,3.2896725E-15,9.083083E-17,9.782097E-17
3402.0269,3.345023E-15,8.974393E-17,7.7461004E-17
3406.1077,3.3493487E-15,8.814481E-17,5.2732374E-17
3410.1882,3.3790167E-15,8.754891E-17,8.685586E-17
3414.269,3.2903266E-15,8.5130715E-17,7.4491585E-17
3418.3496,3.523651E-15,8.5280356E-17,-3.225913E-17
3422.4304,3.3317355E-15,8.34396E-17,1.0990826E-16
3426.5112,3.352283E-15,8.219601E-17,7.885734E-17
3430.5918,3.3274942E-15,8.086713E-17,7.3545455E-17
3434.6726,3.2079524E-15,7.9232395E-17,1.3972997E-16
3438.7532,3.3464681E-15,8.024504E-17,2.270803E-16
3442.834,3.3918928E-15,7.8523786E-17,9.901975E-17
3446.9146,3.1985446E-15,7.623504E-17,1.45089E-16
3450.9954,3.178287E-15,7.4798376E-17,1.1430892E-16
3455.076,3.3870059E-15,7.5138446E-17,2.9538722E-17
3459.1567,3.1346083E-15,7.2250005E-17,7.825229E-17
3463.2375,3.140356E-15,7.256492E-17,1.9335719E-16
3467.318,3.3138364E-15,7.2914303E-17,1.4862592E-16
3471.399,3.3051717E-15,7.2177914E-17,1.6375803E-16
3475.4795,3.2553143E-15,7.044494E-17,1.00356206E-16
3479.5603,3.2564772E-15,6.9713836E-17,9.716945E-17
3483.6409,3.358667E-15,6.996854E-17,1.1191625E-16
3487.7217,3.228142E-15,6.7939295E-17,8.218571E-17
3491.8022,3.2051418E-15,6.744026E-17,1.3539977E-16
3495.883,3.3013255E-15,6.694359E-17,4.0823884E-17
3499.9639,3.1038622E-15,6.503919E-17,1.025307E-16
3504.0444,3.2725217E-15,6.534814E-17,3.149302E-17
3508.1252,3.249788E-15,6.44409E-17,2.2270976E-17
3512.2058,3.1257724E-15,6.3073005E-17,5.0299195E-17
3516.2866,2.9332541E-15,6.0761015E-17,4.7719934E-17
3520.3672,3.1184238E-15,6.187796E-17,6.556876E-17
3524.448,3.1295875E-15,6.1789214E-17,1.121834E-16
3528.5286,3.1954017E-15,6.1745115E-17,1.06052026E-16
3532.6094,3.1625997E-15,6.1676817E-17,2.0243242E-16
3536.69,3.0711649E-15,6.0840094E-17,2.4651017E-16
3540.7708,2.9885343E-15,5.924629E-17,1.9698343E-16
3544.8516,3.096469E-15,5.95092E-17,1.6765576E-16
3548.9321,2.9688433E-15,5.787643E-17,1.5182181E-16
3553.013,3.1035529E-15,5.821904E-17,1.1676806E-16
3557.0935,3.0910085E-15,5.739785E-17,8.416945E-17
3561.1743,3.0075942E-15,5.634677E-17,8.9596717E-17
3565.255,2.920737E-15,5.524745E-17,8.5952046E-17
3569.3357,2.868304E-15,5.4310833E-17,8.05027E-17
3573.4163,3.0054033E-15,5.5412412E-17,9.993796E-17
3577.497,2.936163E-15,5.4082918E-17,6.20003E-17
3581.578,2.8762838E-15,5.3430726E-17,8.846989E-17
3585.6584,2.9193317E-15,5.340926E-17,8.3649036E-17
3589.7393,2.9989473E-15,5.3575654E-17,7.660391E-17
3593.8198,3.0039384E-15,5.321373E-17,7.459935E-17
3597.9006,3.0283645E-15,5.276991E-17,3.8642298E-17
3601.9812,3.0042355E-15,5.23951E-17,6.711703E-17
3606.062,3.0747474E-15,5.281718E-17,9.901877E-17
3610.1426,3.0475358E-15,5.225617E-17,1.0369732E-16
3614.2234,3.1109443E-15,5.2212646E-17,8.6083826E-17
