WAVE,FLUX,ERR,SKYBACK
3643.7588,1.4337342E-15,2.3020453E-17,3.193267E-17
3649.2793,1.4066926E-15,2.2677982E-17,2.8824518E-17
3654.7998,1.391771E-15,2.2257931E-17,2.0086526E-17
3660.3203,1.4675803E-15,2.252619E-17,2.0897393E-17
3665.8408,1.3928782E-15,2.1802964E-17,2.1116877E-17
3671.3613,1.4051498E-15,2.1589616E-17,1.1075563E-17
3676.8818,1.3962653E-15,2.1293831E-17,9.99279E-18
3682.4023,1.4188506E-15,2.1293338E-17,2.3061622E-17
3687.9229,1.4398285E-15,2.1223547E-17,2.2933688E-17
3693.4434,1.4706692E-15,2.1167362E-17,1.781745E-17
3698.9639,1.4821502E-15,2.1083917E-17,2.706284E-17
3704.4844,1.4281914E-15,2.0506843E-17,1.8968517E-17
3710.005,1.4602555E-15,2.051638E-17,2.1410013E-17
3715.5254,1.4633614E-15,2.0415228E-17,3.3428834E-17
3721.046,1.444728E-15,2.0085181E-17,2.9115007E-17
3726.5664,1.4777965E-15,2.0049374E-17,1.808553E-17
3732.087,1.4826914E-15,1.9982278E-17,3.2868508E-17
3737.6074,1.466599E-15,1.9735459E-17,3.600857E-17
3743.128,1.4787934E-15,1.9552368E-17,2.0714131E-17
3748.6484,1.429742E-15,1.915637E-17,3.0618286E-17
3754.169,1.4510651E-15,1.9039085E-17,1.5602458E-17
3759.6895,1.3986411E-15,1.8570597E-17,1.6234447E-17
3765.21,1.3934171E-15,1.8440433E-17,2.564378E-17
3770.7305,1.4259226E-15,1.8445001E-17,1.8532646E-17
3776.251,1.4376171E-15,1.834603E-17,1.4367456E-17
3781.7715,1.4035828E-15,1.804553E-17,2.0926745E-17
3787.292,1.3614692E-15,1.7675602E-17,2.1055935E-17
3792.8125,1.3620423E-15,1.7558523E-17,2.3761461E-17
3798.333,1.3536211E-15,1.7377495E-17,2.2543855E-17
3803.8535,1.3886239E-15,1.741284E-17,1.5859332E-17
3809.374,1.3209713E-15,1.69543E-17,2.3644662E-17
3814.8945,1.3279149E-15,1.6900013E-17,2.9122683E-17
3820.415,1.3612465E-15,1.6907004E-17,1.7066792E-17
3825.9355,1.3502037E-15,1.6765631E-17,2.4003666E-17
3831.456,1.355342E-15,1.669415E-17,2.7199725E-17
3836.9766,1.351479E-15,1.6537623E-17,2.1161869E-17
3842.497,1.3916122E-15,1.6643463E-17,2.0089808E-17
3848.0176,1.3868784E-15,1.6537882E-17,2.488324E-17
3853.538,1.3932571E-15,1.640346E-17,1.29062534E-17
3859.0586,1.4231943E-15,1.646474E-17,1.4644806E-17
3864.579,1.4103713E-15,1.6264459E-17,8.500932E-18
