WAVE,FLUX,ERR,SKYBACK
9375.24,1.7184591E-16,6.125834E-18,8.915494E-17
9382.183,1.5830917E-16,6.0688484E-18,7.482069E-17
9389.125,1.1004585E-16,4.5155905E-18,6.440231E-17
9396.067,1.2524351E-16,4.7272545E-18,6.555815E-17
9403.01,9.4124366E-17,5.026147E-18,6.661759E-17
9409.952,1.2439133E-16,4.9513675E-18,6.7298746E-17
9416.895,1.11448E-16,5.7219338E-18,7.072837E-17
9423.837,1.7843779E-16,6.0692173E-18,7.404376E-17
9430.779,1.1044324E-16,5.3179975E-18,7.98402E-17
9437.722,1.6240183E-16,6.82038E-18,7.962322E-17
9444.664,1.1725983E-16,6.2571726E-18,7.8903965E-17
9451.606,1.0420163E-16,5.5854713E-18,7.560432E-17
9458.549,1.304814E-16,5.5594127E-18,7.642752E-17
9465.491,1.0538716E-16,5.3594616E-18,7.456121E-17
9472.433,8.6906176E-17,5.942114E-18,7.1185E-17
9479.375,7.254031E-17,5.779878E-18,7.3499894E-17
9486.317,1.3625793E-16,5.117995E-18,7.3893473E-17
9493.26,8.973024E-17,4.940643E-18,6.796943E-17
9500.202,1.2898193E-16,5.1695935E-18,6.8255874E-17
9507.145,1.3326744E-16,5.7125312E-18,6.257449E-17
9514.087,1.1938964E-16,4.9430874E-18,6.99445E-17
9521.029,1.2014037E-16,5.3406122E-18,6.477627E-17
9527.972,1.2549068E-16,5.341578E-18,6.478372E-17
9534.914,1.5975539E-16,5.721715E-18,6.717225E-17
9541.856,1.1777358E-16,5.4334074E-18,6.6331805E-17
9548.799,8.444314E-17,5.9061266E-18,6.959492E-17
9555.741,1.0875566E-16,5.946633E-18,6.7196414E-17
9562.684,1.2817715E-16,4.8081585E-18,6.138598E-17
9569.626,1.1784359E-16,4.743414E-18,5.9054767E-17
9576.568,9.8836026E-17,4.522274E-18,6.191057E-17
9583.511,1.10904585E-16,4.846545E-18,6.469235E-17
9590.453,1.1318883E-16,4.6410354E-18,5.6803465E-17
9597.3955,1.3320534E-16,4.8880423E-18,5.647185E-17
9604.338,5.708898E-17,4.9824273E-18,5.411297E-17
9611.28,1.2753497E-16,4.6181043E-18,5.4075986E-17
9618.223,1.4528304E-16,4.997685E-18,5.565446E-17
9625.165,1.0455997E-16,5.2579988E-18,5.0230324E-17
9632.107,1.163606E-16,5.409906E-18,5.4565187E-17
9639.05,1.2674335E-16,4.2339686E-18,5.2456784E-17
9645.992,1.04747324E-16,3.9509207E-18,4.6807927E-17
9652.935,1.2888801E-16,4.0144858E-18,4.9784206E-17
9659.877,1.5623484E-16,4.8181682E-18,4.8665752E-17
9666.819,1.2311116E-16,4.400937E-18,4.739367E-17
9673.761,1.10951813E-16,4.2242637E-18,4.343728E-17
9680.703,1.0966776E-16,3.5213186E-18,4.464631E-17
9687.6455,1.2164635E-16,3.8254452E-18,4.5464838E-17
9694.588,1.1988331E-16,3.690968E-18,4.6090864E-17
9701.53,1.0330562E-16,3.499019E-18,4.665941E-17
9708.473,8.8091605E-17,3.250599E-18,4.677254E-17
9715.415,1.1804652E-16,3.4926684E-18,4.513981E-17
