SN_name,spectra_file,obs_date,dereddening,smoothing,source,frame
LSQ12dlf,LSQ12dlf_2012-08-11_16-36-21_ANU-2.3m_WiFeS_PESSTO_0.dat,2456151.1919097,No,No,PESSTO,Unknown
LSQ12dlf,LSQ12dlf_2012-08-13_14-55-06_ANU-2.3m_WiFeS_PESSTO.dat,2456153.1215972,No,No,PESSTO,Unknown
LSQ12dlf,LSQ12dlf_2012-09-12_00-00-00_VLT-UT2_X-Shooter_None_0.txt,2456182.5,No,No,2014MNRAS.444.2096N,Unknown
LSQ12dlf,LSQ12dlf_2012-09-10_07-55-33_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii,2456180.8302431,No,No,PESSTO-SSDR1-2,Unknown
LSQ12dlf,LSQ12dlf_2012-09-12_00-00-00_VLT-UT2_X-Shooter_None_1.txt,2456182.5,No,No,2014MNRAS.444.2096N,Unknown
iPTF13ehe,iPTF13ehe_2014-02-01_10-13-46_P200_DBSP_iPTF.dat,2456689.9262269,No,No,iPTF,Unknown
iPTF13ehe,iPTF13ehe_2014-01-06_00-00-00_P200_DBSP_iPTF.txt,2456663.5,No,No,iPTF,Unknown
iPTF13ehe,iPTF13ehe_2014-12-17_10-39-42_Keck1_LRIS_iPTF.ascii,2457008.9442361,No,No,iPTF,Unknown
iPTF13ehe,iPTF13ehe_2014-01-01_00-00-00_Keck2_DEIMOS_iPTF.ascii,2456658.5,No,No,iPTF,Unknown
iPTF13ehe,iPTF13ehe_2014-12-21_10-07-01_Keck2_DEIMOS_iPTF.ascii,2457012.9215394,No,No,iPTF,Unknown
iPTF13ehe,iPTF13ehe_2015-01-22_09-29-23_Keck1_LRIS_iPTF.ascii,2457044.8954051,No,No,iPTF,Unknown
iPTF13ehe,iPTF13ehe_2014-01-06_00-00-00.000000_P200_DBSP_iPTF.ascii,2456663.5,No,No,iPTF,Unknown
2006oz,SN2006oz_2006-11-22_00-00-00_NOT_ALFOSC_None.dat,2454061.5,No,No,2012A&amp;A...541A.129L,Unknown
LSQ14bdq,LSQ14bdq_2014-05-07_00-26-51_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456784.5186458,No,No,PESSTO-SSDR1-2,Unknown
LSQ14bdq,LSQ14bdq_2014-05-04_23-27-07_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456782.4771644,No,No,PESSTO-SSDR1-2,Unknown
LSQ14bdq,LSQ14bdq_2014-05-06_01-47-54_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456783.5749306,No,No,PESSTO-SSDR1-2,Unknown
LSQ14bdq,LSQ14bdq_2014-05-06_01-17-20_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.dat,2456783.5537037,No,No,PESSTO-SSDR1-2,Unknown
LSQ14bdq,LSQ14bdq_2014-05-04_23-27-07_ESO-NTT_EFOSC2-NTT_PESSTO.asci,2456782.4771644,No,No,PESSTO,Unknown
2013hy,2013hy_2013-11-20_00-00-00_VLT-UT1_FORS2_None.dat,2456616.5,No,No,2015MNRAS.449.1215P,Unknown
2013dg,SN2013dg_2013-07-20_00-00-00_VLT-UT2_X-Shooter_None.txt,2456493.5,No,No,2014MNRAS.444.2096N,Unknown
2013dg,SN2013dg_2013-07-20_00-00-00_VLT-UT2_X-Shooter_None_0.txt,2456493.5,No,No,2014MNRAS.444.2096N,Unknown
2013dg,SN2013dg_2013-07-20_00-00-00_VLT-UT2_X-Shooter_None_1.txt,2456493.5,No,No,2014MNRAS.444.2096N,Unknown
2013dg,SN_2013dg_2013-06-15_06-47-31_Lick-3m_KAST_UCB-SNDB_0.flm,2456458.7829977,No,No,UCB-SNDB,Unknown
2013dg,2013dg_2013-06-10_23-22-55_WHT-4.2m_ISIS_PESSTO.asci,2456454.4742477,No,No,PESSTO,Unknown
2013dg,SN2013dg_2013-06-25_00-00-00_VLT-UT2_X-Shooter_None.txt,2456468.5,No,No,2014MNRAS.444.2096N,Unknown
2013dg,SN2013dg_2013-06-25_00-00-00_VLT-UT2_X-Shooter_None_0.txt,2456468.5,No,No,2014MNRAS.444.2096N,Unknown
2013dg,SN2013dg_2013-06-25_00-00-00_VLT-UT2_X-Shooter_None_1.txt,2456468.5,No,No,2014MNRAS.444.2096N,Unknown
2015bn,2015bn_2015-03-24_00-00-00_UH88_SNIFS_None.txt,2457105.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-03-27_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt,2457108.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2016-04-06_00-00-00_Magellan-Baade_IMACS_None.txt,2457484.5,No,No,2016ApJ...828L..18N,Unknown
2015bn,2015bn_2015-03-12_00-00-00_ANU-2.3m_WiFeS_None.txt,2457093.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-02-17_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt,2457070.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-02-18_12-00-00_ESO-NTT_EFOSC2-NTT_None.asci,2457072,No,No,,Unknown
2015bn,2015bn_2016-01-08_00-00-00_Magellan-Baade_IMACS_None.txt,2457395.5,No,No,2016ApJ...828L..18N,Unknown
2015bn,2015bn_2016-03-05_00-00-00_VLT-UT2_X-Shooter_None_0.txt,2457452.5,No,No,2017ApJ...835...13J,Unknown
2015bn,2015bn_2015-02-24_00-00-00_ESO-NTT_Sofi_None.txt,2457077.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2016-03-05_00-00-00_VLT-UT2_X-Shooter_None_1.txt,2457452.5,No,No,2017ApJ...835...13J,Unknown
2015bn,2015bn_2015-02-18_00-00-00_Magellan-Baade_IMACS_None.txt,2457071.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-03-11_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt,2457092.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-02-24_00-00-00_ANU-2.3m_WiFeS_None.txt,2457077.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2018-07-08_23-37-03_Magellan-Clay_LDSS-3_None.txt,2458308.4840625,No,No,2018ApJ...866L..24N,Unknown
2015bn,2015bn_2016-03-05_00-00-00_VLT-UT2_X-Shooter_None_2.txt,2457452.5,No,No,2017ApJ...835...13J,Unknown
2015bn,2015bn_2015-06-21_00-00-00_UH88_SNIFS_None.txt,2457194.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2016-01-01_00-00-00_ESO-NTT_EFOSC2-NTT_None_0.txt,2457388.5,No,No,2017ApJ...835...13J,Unknown
2015bn,2015bn_2015-04-24_00-00-00_Magellan-Baade_IMACS_None.txt,2457136.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2016-01-01_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt,2457388.5,No,No,2017ApJ...835...13J,Unknown
2015bn,2015bn_2016-03-05_00-00-00_VLT-UT2_X-Shooter_None.txt,2457452.5,No,No,2017ApJ...835...13J,Unknown
2015bn,2015bn_2015-03-01_00-00-00_LT_SPRAT_None.txt,2457082.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-04-11_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt,2457123.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-06-08_00-00-00_UH88_SNIFS_None.txt,2457181.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-07-16_00-00-00_Magellan-Clay_LDSS-3_None.txt,2457219.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-03-18_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt,2457099.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-04-23_00-00-00_Magellan-Baade_IMACS_None.txt,2457135.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-03-11_00-00-00_MMT_MMT-Blue_None.txt,2457092.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-05-15_00-00-00_Magellan-Baade_IMACS_None.txt,2457157.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-07-08_00-00-00_UH88_SNIFS_None.txt,2457211.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-04-23_00-00-00_FTN_FLOYDS-N_None.txt,2457135.5,No,No,2016ApJ...826...39N,Unknown
2015bn,SN_2015bn_2015-03-27_08-06-43_Lick-3m_KAST_UCB-SNDB_0.flm,2457108.8379977,No,No,UCB-SNDB,Unknown
2015bn,2015bn_2015-06-28_00-00-00_UH88_SNIFS_None.txt,2457201.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-04-28_00-00-00_ESO-NTT_Sofi_None.txt,2457140.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-03-11_00-00-00_ESO-NTT_Sofi_None.txt,2457092.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-05-08_00-00-00_LT_SPRAT_None.txt,2457150.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2016-05-29_00-00-00_Gemini-N_GMOS_None.txt,2457537.5,No,No,2016ApJ...828L..18N,Unknown
2015bn,2015bn_2015-12-16_00-00-00_Magellan-Baade_IMACS_None.txt,2457372.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2015-02-25_00-00-00_ESO-NTT_EFOSC2-NTT_None.txt,2457078.5,No,No,2016ApJ...826...39N,Unknown
2015bn,2015bn_2016-02-12_00-00-00_Magellan-Baade_IMACS_None.txt,2457430.5,No,No,2016ApJ...828L..18N,Unknown
2015bn,2015bn_2015-05-23_00-00-00_UH88_SNIFS_None.txt,2457165.5,No,No,2016ApJ...826...39N,Unknown
PTF12dam,PTF12dam_2012-05-21_00-00-00_Lick-3m_KAST_PTF.dat,2456068.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-08-09_00-00-00_NOT_ALFOSC_None.txt,2456148.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-07-11_00-00-00_Lick-3m_KAST_PTF.dat,2456119.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2013-02-10_00-00-00_WHT-4.2m_ISIS_None_0.txt,2456333.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-05-24_00-00-00_GTC_OSIRIS_None.txt,2456071.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-06-14_00-00-00_Lick-3m_KAST_PTF.dat,2456092.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-06-01_00-00-00_NOT_ALFOSC_None.txt,2456079.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-05-22_00-00-00_Keck1_LRIS_PTF_0.dat,2456069.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-12-17_00-00-00_Gemini-N_GMOS_None.txt,2456278.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-05-25_00-00-00_WHT-4.2m_ISIS_None_0.txt,2456072.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2013-06-09_00-00-00_Keck1_LRIS_PTF.dat,2456452.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-05-20_00-00-00_Lick-3m_KAST_PTF.dat,2456067.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-06-29_00-00-00_Ekar_AFOSC_None.txt,2456107.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-06-25_00-00-00_WHT-4.2m_ISIS_None.txt,2456103.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-07-17_00-00-00_Ekar_AFOSC_None.txt,2456125.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-07-12_00-00-00_HST_WFC3_PTF.dat,2456120.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-09-22_00-00-00_WHT-4.2m_ISIS_None.txt,2456192.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-06-18_00-00-00_P200_DBSP_PTF.dat,2456096.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-08-20_00-00-00_WHT-4.2m_ISIS_PTF.dat,2456159.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-07-06_00-00-00_HST_WFC3_PTF.dat,2456114.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-06-25_00-00-00_WHT-4.2m_ISIS_None_0.txt,2456103.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-05-23_00-00-00_Ekar_AFOSC_None.txt,2456070.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-06-21_00-00-00_NOT_ALFOSC_None.txt,2456099.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2014-04-30_10-33-34_Keck1_LRIS_None.spec,2456777.9399769,No,No,2016ApJ...830...13P,Unknown
PTF12dam,PTF12dam_2012-08-20_00-00-00_WHT-4.2m_ISIS_None.txt,2456159.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-05-26_00-00-00_HST_WFC3_PTF.dat,2456073.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-05-25_00-00-00_WHT-4.2m_ISIS_None.txt,2456072.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-05-25_00-00-00_WHT-4.2m_ISIS_PTF_0.dat,2456072.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2013-02-10_00-00-00_WHT-4.2m_ISIS_None.txt,2456333.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2014-04-29_00-00-00_Keck1_LRIS_PTF.dat,2456776.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2012-09-22_00-00-00_WHT-4.2m_ISIS_None_0.txt,2456192.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-06-08_00-00-00_NOT_ALFOSC_None.txt,2456086.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF_12dam_2012-05-21_10-13-26_Lick-3m_KAST_UCB-SNDB_0.flm,2456068.9259954,No,No,UCB-SNDB,Unknown
PTF12dam,PTF12dam_2012-08-20_00-00-00_WHT-4.2m_ISIS_None_0.txt,2456159.5,No,No,2013Natur.502..346N,Unknown
PTF12dam,PTF12dam_2012-12-05_00-00-00_P200_DBSP_PTF_0.dat,2456266.5,No,Yes,PTF,Rest
PTF12dam,PTF12dam_2013-04-09_00-00-00_Keck1_LRIS_PTF.dat,2456391.5,No,Yes,PTF,Rest
PTF12dam,PTF_12dam_2012-07-11_08-36-57_Lick-3m_KAST_UCB-SNDB_0.flm,2456119.8589931,No,No,UCB-SNDB,Unknown
2011kg,2011kg_2012-01-17_00-00-00_HST_WFC3_PTF.dat,2455943.5,No,Yes,PTF,Rest
2011kg,2011kg_2012-07-15_00-00-00_Keck1_LRIS_PTF.dat,2456123.5,No,Yes,PTF,Rest
2011kg,2011kg_2011-12-27_00-00-00_P200_DBSP_PTF_0.dat,2455922.5,No,Yes,PTF,Rest
2011kg,2011kg_2012-01-18_00-00-00_P200_DBSP_PTF_0.dat,2455944.5,No,Yes,PTF,Rest
2011kg,SN2011kg_2012-07-15_12-51-04_Keck1_LRIS_None.spec,2456124.035463,No,No,2016ApJ...830...13P,Unknown
2011kg,SN2011kg_2012-01-26_00-00-00_VLT-UT2_X-Shooter_None.ascii,2455952.5,No,No,2013ApJ...770..128I,Unknown
2011kg,2011kg_2011-12-31_00-00-00_Keck1_LRIS_PTF.dat,2455926.5,No,Yes,PTF,Rest
2011kg,SN2011kg_2012-01-17_00-00-00_VLT-UT2_X-Shooter_None.ascii,2455943.5,No,No,2013ApJ...770..128I,Unknown
2011kg,2011kg_2012-03-01_00-00-00_WHT-4.2m_ISIS_PTF.dat,2455987.5,No,Yes,PTF,Rest
2011kg,2011kg_2012-02-01_00-00-00_P200_DBSP_PTF_0.dat,2455958.5,No,Yes,PTF,Rest
2011kg,SN2011kg_2012-01-09_00-00-00_VLT-UT2_X-Shooter_None.ascii,2455935.5,No,No,2013ApJ...770..128I,Unknown
2011kg,SN2011kg_2012-03-03_00-00-00_VLT-UT1_FORS1_None.ascii,2455989.5,No,No,2013ApJ...770..128I,Unknown
PS1-10bzj,PS1-10bzj_2011-01-25_00-00-00_Gemini-S_GMOS-S_None.flm,2455586.5,No,No,2013ApJ...771...97L,Unknown
PS1-10bzj,PS1-10bzj_2011-01-28_00-00-00_Gemini-S_GMOS-S_None.flm,2455589.5,No,No,2013ApJ...771...97L,Unknown
PS1-10bzj,PS1-10bzj_2011-01-13_00-00-00_Magellan-Clay_LDSS-3_None.flm,2455574.5,No,No,2013ApJ...771...97L,Unknown
PS1-10bzj,PS1-10bzj_2011-04-02_00-00-00_Gemini-S_GMOS-S_None.flm,2455653.5,No,No,2013ApJ...771...97L,Unknown
2011kf,2011kf_2012-03-03_00-00-00_VLT-UT1_FORS1_None.ascii,2455989.5,No,No,2013ApJ...770..128I,Unknown
2011kf,2011kf_2012-01-30_00-00-00_VLT-UT2_X-Shooter_None.ascii,2455956.5,No,No,2013ApJ...770..128I,Unknown
iPTF13dcc,iPTF13dcc_2013-12-04_11-05-01.162000_Keck1_LRIS_iPTF.ascii,2456630.9618171,No,No,iPTF,Unknown
2016wi,iPTF15esb_2016-11-02_13-36-29_Keck1_LRIS_iPTF.ascii,2457695.0670023,No,No,iPTF,Unknown
2016wi,iPTF15esb_2015-12-16_00-00-00_Keck2_DEIMOS_iPTF.ascii,2457372.5,No,No,iPTF,Unknown
2016wi,iPTF15esb_2016-02-02_00-00-00_P200_DBSP_iPTF.ascii,2457420.5,No,No,iPTF,Unknown
2016wi,SN2016wi_2015-12-16_00-00-00_Keck2_DEIMOS_TNS.ascii,2457372.5,No,No,TNS,Unknown
2016wi,iPTF15esb_2016-03-06_08-03-46_Keck1_LRIS_iPTF.ascii,2457453.8359491,No,No,iPTF,Unknown
2016wi,iPTF15esb_2017-01-02_09-27-49_Keck1_LRIS_iPTF.ascii,2457755.8943171,No,No,iPTF,Unknown
2016wi,iPTF15esb_2016-02-09_09-41-25_Keck1_LRIS_iPTF.ascii,2457427.9037616,No,No,iPTF,Unknown
2016wi,iPTF15esb_2016-02-07_05-51-38_Keck1_LRIS_iPTF.ascii,2457425.7441898,No,No,iPTF,Unknown
2016wi,iPTF15esb_2016-01-12_14-19-44_Keck1_LRIS_iPTF.ascii,2457400.097037,No,No,iPTF,Unknown
2016wi,iPTF15esb_2016-05-05_06-18-57_Keck1_LRIS_iPTF.ascii,2457513.7631597,No,No,iPTF,Unknown
2016wi,iPTF15esb_2016-01-07_00-00-00_Keck2_DEIMOS_iPTF.ascii,2457394.5,No,No,iPTF,Unknown
2016wi,iPTF15esb_2016-04-10_06-08-02_Keck1_LRIS_iPTF.ascii,2457488.7555787,No,No,iPTF,Unknown
PS1-10ky,PS1-10ky_2010-07-21_00-00-00_Gemini-N_GMOS_PS1.flm,2455398.5,No,No,PS1,Unknown
PS1-10ky,PS1-10ky_2010-08-18_00-00-00_Gemini-S_GMOS-S_PS1.flm,2455426.5,No,No,PS1,Unknown
PS1-10ky,PS1-10ky_2010-07-17_00-00-00_MMT_MMT-Blue_PS1.flm,2455394.5,No,No,PS1,Unknown
PS1-10ky,PS1-10ky_2010-09-09_00-00-00_Gemini-S_GMOS-S_PS1.flm,2455448.5,No,No,PS1,Unknown
PTF09atu,PTF09atu_2009-08-25_00-00-00_Keck1_LRIS_PTF.dat,2455068.5,No,No,PTF,Unknown
PTF09atu,PTF09atu_2009-08-25_00-00-00_Keck1_LRIS_PTF_0.dat,2455068.5,No,Yes,PTF,Rest
PTF09atu,PTF09atu_2010-01-14_00-00-00_Keck1_LRIS_PTF_0.dat,2455210.5,No,Yes,PTF,Rest
PTF09atu,PTF09atu_2014-04-29_13-12-22_Keck1_LRIS_None.spec,2456777.0502546,No,No,2016ApJ...830...13P,Unknown
PTF09atu,PTF09atu_2009-07-22_00-00-00_Keck1_LRIS_PTF.dat,2455034.5,No,Yes,PTF,Rest
PTF09atu,PTF09atu_2009-10-16_00-00-00_Keck1_LRIS_PTF.dat,2455120.5,No,Yes,PTF,Rest
PTF09atu,PTF09atu_2009-07-20_00-00-00_Keck1_LRIS_PTF.dat,2455032.5,No,Yes,PTF,Rest
PTF09atu,PTF09atu_2009-09-23_00-00-00_Keck1_LRIS_PTF_1.dat,2455097.5,No,Yes,PTF,Rest
PTF09atu,PTF09atu_2010-02-11_00-00-00_Keck1_LRIS_PTF.dat,2455238.5,No,Yes,PTF,Rest
2017egm,2017egm_2017-05-30_13-26-36_XLT_BFOSC_None.txt,2457904.0601389,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2017-07-05_04-39-21_Lick-3m_KAST_None.txt,2457939.6939931,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-07-18_20-29-02_Ekar_AFOSC_None.txt,2457953.3534954,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-24_04-59-31_Lick-3m_KAST_None.txt,2457928.7079977,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2458191.79_LBT_MODS1_None.txt,2458191.79,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2458079_Lick-3m_KAST_None.txt,2458079,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2017-06-26_04-53-45_Lick-3m_KAST_None.txt,2457930.7039931,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-05-30_21-35-29_NOT_ALFOSC_None.txt,2457904.3996412,No,No,,Unknown
2017egm,2017egm_2017-11-16_14-54-24_Keck1_LRIS_None.txt,2458074.1211111,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2458099.98_Lick-3m_KAST_None.txt,2458099.98,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2017-05-26_12-45-04_BAO-2.16m_Cassegrain_None.txt,2457900.0312963,No,No,,Unknown
2017egm,2017egm_2017-06-23_HST_STIS_None.txt,2457927.5,No,No,,Unknown
2017egm,2017egm_2458074.0846_IRTF_SpeX_None.txt,2458074.0846,No,No,,Unknown
2017egm,2017egm_2017-10-30_MDM-2.4_OSMOS_None.txt,2458056.5,No,No,2018arXiv180800510N,Unknown
2017egm,2017egm_2018-01-05_MMT_MMT-Blue_None.txt,2458123.5,No,No,2018arXiv180800510N,Unknown
2017egm,2017egm_2458057.04_Lick-3m_KAST_None.txt,2458057.04,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2018-06-21_Gemini-N_GMOS_None.txt,2458290.5,No,No,2018arXiv180800510N,Unknown
2017egm,2017egm_2017-12-03_MMT_MMT-Blue_None.txt,2458090.5,No,No,2018arXiv180800510N,Unknown
2017egm,2017egm_2017-10-19_20-24-55_XLT_BFOSC_None.txt,2458046.3506366,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2458195.49_GTC_OSIRIS_None.txt,2458195.49,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2017-11-14_Other_Other_None.txt,2458071.5,No,No,2018arXiv180800510N,Unknown
2017egm,2017egm_2458035.00_Lick-3m_VNIRIS_None.txt,2458035,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2017-07-18_04-17-45_Lick-3m_KAST_None.txt,2457952.6789931,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-27_04-36-28_Lick-3m_KAST_None.txt,2457931.6919907,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2018-07-13_06-08-04_Keck1_LRIS_None.txt,2458312.7556019,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2017-07-01_21-44-55_NOT_ALFOSC_None.txt,2457936.4061921,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-05_15-20-04_Lijiang-2.4m_YFOSC_None.dat,2457910.1389352,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2017-06-28_05-00-57_Lick-3m_KAST_None.txt,2457932.7089931,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2458106_Lick-3m_KAST_None.txt,2458106,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2017-06-17_03-46-12_P200_DBSP_None.txt,2457921.6570833,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2018-01-08_00-00-00_Keck1_MOSFIRE_None_0.dat,2458126.5,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2018-01-13_11-23-51_Keck1_LRIS_None_0.txt,2458131.9748958,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2017-10-26_10-40-00_P200_DBSP_None.dat,2458052.9444444,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2017-06-20_04-52-19_Lick-3m_KAST_None.txt,2457924.7029977,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-21_06-57-36_IRTF_SpeX_None.txt,2457925.79,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-21_04-45-07_Lick-3m_KAST_None.txt,2457925.6979977,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-11-15_14-07-44_Keck1_LRIS_None.txt,2458073.0887037,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2458115.93_P200_DBSP_None.txt,2458115.93,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2017-06-11_21-07-12_Galileo_BC-Asi_None.txt,2457916.38,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-17_13-05-56_XLT_BFOSC_None.txt,2457922.045787,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2017-06-20_22-17-12_LT_SPRAT_None.txt,2457925.4286111,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-26_22-23-41_NOT_ALFOSC_None.txt,2457931.4331134,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-10_22-00-44_LT_SPRAT_None.txt,2457915.4171759,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2018-05-10_08-51-51_Keck1_LRIS_None.txt,2458248.8693403,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2017-06-07_14-01-57_XLT_BFOSC_None.txt,2457912.0846875,No,No,2023NatAs.tmp...90L,Unknown
2017egm,2017egm_2017-06-15_21-26-10_LT_SPRAT_None.txt,2457920.3931713,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2458024.04_Lick-3m_KAST_None.txt,2458024.04,No,No,,Unknown
2017egm,2017egm_2458052.036_Lick-3m_KAST_None.txt,2458052.036,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2017-06-03_04-45-24_Lick-3m_KAST_None.txt,2457907.6981944,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-07-01_04-36-28_Lick-3m_KAST_None.txt,2457935.6919907,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-19_00-00-00_Lick-3m_VNIRIS_None.txt,2457923.5,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2458132.00_Lick-3m_KAST_None.txt,2458132,No,No,2023arXiv230303424Z,Unknown
2017egm,2017egm_2017-06-17_04-19-12_FLWO-1.5m_FAST_None.txt,2457921.68,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2017-06-23_04-53-45_Lick-3m_KAST_None.txt,2457927.7039931,No,No,2018ApJ...853...57B,Unknown
2017egm,2017egm_2458191.79_LBT_MODS1_None_0.txt,2458191.79,No,No,2023arXiv230303424Z,Unknown
